"WRID","sort_spec","chunk","group","name","name_spec","bytes","type","type_spec","spec","condition","desc"
"WRID>RIFF-WAVE>LIST-adtl>ltxt>sample_length","","ltxt","","sample_length","dwSampleLength","4","u32","DWORD","RIFF1991","","Specifies the number of samples in the segment of waveform data."
"WRID>RIFF-WAVE>LIST-adtl>ltxt>purpose","","ltxt","","purpose","dwPurpose","4","u32","DWORD","RIFF1991","","Specifies the type or purpose of the text. For example, dwPurpose can specify a FOURCC code like 'scrp' for script text or 'capt' for close-caption text."
"WRID>RIFF-WAVE>LIST-adtl>ltxt>country_code","","ltxt","","country_code","wCountry","2","u16","WORD","RIFF1991","","Specifies the country code for the text. See ""Country Codes"" in [`CSET`](@/chunk/cset.md) chunk, for a current list of country codes."
"WRID>RIFF-WAVE>LIST-adtl>ltxt>language","","ltxt","","language","wLanguage","2","u16","WORD","RIFF1991","","Specify the language for the text. See ""Language and Dialect Codes"" in [`CSET`](@/chunk/cset.md) chunk, for a current list of language and dialect codes."
"WRID>RIFF-WAVE>LIST-adtl>ltxt>dialect","","ltxt","","dialect","wDialect","2","u16","WORD","RIFF1991","","Specify the dialect codes for the text. See ""Language and Dialect Codes"" in [`CSET`](@/chunk/cset.md) chunk, for a current list of language and dialect codes."
"WRID>RIFF-WAVE>LIST-adtl>ltxt>code_page","","ltxt","","code_page","wCodePage","2","u16","WORD","RIFF1991","","Specifies the code page for the text. See [`CSET`](@/chunk/cset.md) chunk for details."
"WRID>RIFF-WAVE>LIST-adtl>ltxt>text","","ltxt","","text","data","size-20","u8[size-20]","BYTE[ckSize-20]","RIFF1991","",""
"WRID>RIFF-WAVE>LIST-adtl>file>id","WRID>RIFF-WAVE>LIST-INFO>1.1","file","","id","ckID","4","u8[4]","FOURCC","RIFF1991","id = file","The 'file' chunk contains information described in other file formats (for example, an 'RDIB' file or an ASCII text file)."
"WRID>RIFF-WAVE>LIST-adtl>file>size","WRID>RIFF-WAVE>LIST-INFO>1.2","file","","size","ckSize","4","u32","DWORD","RIFF1991","",""
"WRID>RIFF-WAVE>LIST-adtl>file>name","WRID>RIFF-WAVE>LIST-INFO>1.3","file","","name","dwName","4","u32","DWORD","RIFF1991","","Specifies the cue point name. This value must match one of the names listed in the [`cue`](@/chunk/cue.md) chunk' cue-point table."
"WRID>RIFF-WAVE>LIST-adtl>file>media_type","WRID>RIFF-WAVE>LIST-INFO>1.3","file","","media_type","dwMedType","4","DWORD","DWORD","RIFF1991","","Specifies the cue point name. This value must match one of the names listed in the <cue-ck> cue-point table.Specifies the file type contained in the fileData field. If the fileData section contains a RIFF form, the dwMedType field is the same as the RIFF form type for the file. This field can contain a zero value."
"WRID>RIFF-WAVE>LIST-adtl>file>file_data","","file","","file_data","fileData","size-8","u8[size-8]","BYTE[ckSize-8]","RIFF1991","","Contains the media file."
"WRID>RIFF-WAVE>MD5 >id","WRID>RIFF-WAVE>LIST-INFO>1.1","file","","id","","4","u8[4]","","MD5_2017","id = ""MD5 ""","MD5 audio data checksum."
"WRID>RIFF-WAVE>MD5 >size","WRID>RIFF-WAVE>LIST-INFO>1.2","file","","size","","4","u32","","MD5_2017","","size is always 16 bytes."
"WRID>RIFF-WAVE>MD5 >name","WRID>RIFF-WAVE>LIST-INFO>1.3","file","","md5","","16","u128","","MD5_2017","","MD5 checksum of the data chunk, not including the optional badding byte."
"WRID>RIFF-WAVE>LIST-wavl>id","","LIST-wavl","","id","ckID","4","u8[4]","FOURCC","RIFF1991","id = LIST",""
"WRID>RIFF-WAVE>LIST-wavl>size","","LIST-wavl","","size","ckSize","4","u32","DWORD","RIFF1991","",""
"WRID>RIFF-WAVE>LIST-wavl>list_type","","LIST-wavl","","list_type","list-type","4","u8[4]","FOURCC","RIFF1991","list_type = wavl",""
"WRID>RIFF-WAVE>LIST-wavl>slnt>id","","slnt","","id","ckID","4","u8[4]","FOURCC","RIFF1991","id = slnt","The ‘slnt’ chunk represents silence, not necessarily a repeated zero volume or baseline sample."
"WRID>RIFF-WAVE>LIST-wavl>slnt>size","","slnt","","size","ckSize","4","u32","DWORD","RIFF1991","",""
"WRID>RIFF-WAVE>LIST-wavl>slnt>samples","","slnt","","samples","dwFileSize","4","u32","DWORD","RIFF1991","","Number of samples."
"WRID>RIFF-WAVE>LIST-wavl>data>id","","data","","id","ckID","4","u8[4]","FOURCC","RIFF1991","id = data","This is the same as WRID>RIFF-WAVE>data, it can also be enclosed in this list type."
"WRID>RIFF-WAVE>LIST-wavl>data>size","","data","","size","ckSize","4","u32","DWORD","RIFF1991","",""
"WRID>RIFF-WAVE>LIST-wavl>data>data","","data","","data","ckData","size","u8[size]","ckData[ckSize]","RIFF1991","",""
"WRID>RIFF-WAVE>inst>id","","inst","","id","ckID","4","u8[4]","FOURCC","RIFF1994","id = ""inst""",""
"WRID>RIFF-WAVE>inst>size","","inst","","size","ckSize","4","u32","DWORD","RIFF1994","",""
"WRID>RIFF-WAVE>inst>unshifted_note","","inst","","unshifted_note","bUnshiftedNote","1","u8","BYTE","RIFF1994","","MIDI note number that corresponds to the unshifted pitch of the sample. Valid values range from 0 to 127."
"WRID>RIFF-WAVE>inst>fine_tune","","inst","","fine_tune","chFineTune","1","i8","CHAR","RIFF1994","","Pitch shift adjustment in cents (or 100ths of a semitone) needed to hit `unshifted_note` value exactly. `fine_tune` can be used to compensate for tuning errors in the sampling process. Valid values range from -50 to 50."
"WRID>RIFF-WAVE>inst>gain","","inst","","gain","chGain","1","i8","CHAR","RIFF1994","","Suggested volume setting for the sample in decibels. A value of zero decibels suggests no change in the volume. A value of -6 decibels suggests reducing the amplitude of the sample by two."
"WRID>RIFF-WAVE>inst>low_note","","inst","","low_note","bLowNote","1","u8","BYTE","RIFF1994","","Suggested usable MIDI note number range of the sample. Valid values range from 0 to 127."
"WRID>RIFF-WAVE>inst>high_note","","inst","","high_note","bHighNote","1","u8","BYTE","RIFF1994","","Suggested usable MIDI note number range of the sample. Valid values range from 0 to 127."
"WRID>RIFF-WAVE>inst>low_velocity","","inst","","low_velocity","bLowVelocity","1","u8","BYTE","RIFF1994","","Suggested usable MIDI velocity range of the sample. Valid values range from 0 to 127."
"WRID>RIFF-WAVE>inst>high_velocity","","inst","","high_velocity","bHighVelocity","1","u8","BYTE","RIFF1994","","Suggested usable MIDI velocity range of the sample. Valid values range from 0 to 127."
"WRID>RIFF-WAVE>smpl>id","","smpl","","id","","4","u8[4]","FOURCC","RIFF1994","id = ""smpl""",""
"WRID>RIFF-WAVE>smpl>size","","smpl","","size","","4","u32","DWORD","RIFF1994","",""
"WRID>RIFF-WAVE>smpl>manufacturer","","smpl","","manufacturer","dwManufacturer","4","u32","DWORD","RIFF1994","","Specifies the MMA Manufacturer code for the intended target device. The high byte indicates the number of low order bytes (1 or 3) that are valid for the manufacturer code. For example, this value will be 0x01000013 for Digidesign (the MMA Manufacturer code is one byte, 0x13); whereas 0x03000041 identifies Microsoft (the MMA Manufacturer code is three bytes, 0x00 0x00 0x41). If the sample is not intended for a specific manufacturer, then this field should be set to zero."
"WRID>RIFF-WAVE>smpl>product","","smpl","","product","dwProduct","4","u32","DWORD","RIFF1994","","Specifies the Product code of the intended target device for the `manufacturer`. If the sample is not intended for a specific manufacturer's product, then this field should be set to zero."
"WRID>RIFF-WAVE>smpl>sample_period","","smpl","","sample_period","dwSamplePeriod","4","u32","DWORD","RIFF1994","","Specifies the period of one sample in nanoseconds (normally 1/ `samples_per_second` from the WAVEFORMAT structure for the RIFF WAVE file -- however, this field allows fine tuning). For example, 44.1 kHz would be specified as 22675 (0x00005893)."
"WRID>RIFF-WAVE>smpl>midi_unity_note","","smpl","","midi_unity_note","dwMIDIUnityNote","4","u32","DWORD","RIFF1994","","Specifies the MIDI note which will replay the sample at original pitch. This value ranges from 0 to 127 (a value of 60 represents Middle C as defined by the MMA)."
"WRID>RIFF-WAVE>smpl>midi_pitch_fraction","","smpl","","midi_pitch_fraction","dwMIDIPitchFraction","4","u32","DWORD","RIFF1994","","Specifies the fraction of a semitone up from the specified `midi_unity_note`. A value of 0x80000000 is 1/2 semitone (50 cents); a value of 0x00000000 represents no fine tuning between semitones."
"WRID>RIFF-WAVE>smpl>smpte_format","","smpl","","smpte_format","dwSMPTEFormat","4","u32","DWORD","RIFF1994","","Specifies the SMPTE time format used in the `smpte_offset` field. Possible values are (unrecognized formats should be ignored): 
0 - specifies no SMPTE offset (`smpte_offset` should also be zero). 
24 - specifies 24 frames per second.
25 - specifies 25 frames per second. 
29 - specifies 30 frames per second with frame dropping ('30 drop'). 
30 - specifies 30 frames per second. "
"WRID>RIFF-WAVE>smpl>smpte_offset","","smpl","","smpte_offset","dwSMPTEOffset","4","u32","DWORD","RIFF1994","","Specifies a time offset for the sample if it is to be syncronized or calibrated according to a start time other than 0. The format of this value is 0xhhmmssff. hh is a signed Hours value [-23..23]. mm is an unsigned Minutes value [0..59]. ss is unsigned Seconds value [0..59]. ff is an unsigned value [0..(`smpte_format` - 1)]."
"WRID>RIFF-WAVE>smpl>sample_loop_count","","smpl","","sample_loop_count","cSampleLoops","4","u32","DWORD","RIFF1994","","Specifies the number (count) of <`sample-loop`> records that are contained in the <`smpl`> chunk. The <`sample-loop`> records are stored immediately following the `sampler_data` field."
"WRID>RIFF-WAVE>smpl>sampler_data","","smpl","","sampler_data_size","cbSamplerData","4","u32","DWORD","RIFF1994","","Specifies the size in bytes of the optional <`sampler_data`>. Sampler specific data is stored imediately following the <`sample-loop`> records. The `sampler_data` field will be zero if no extended sampler specific information is stored in the <`smpl`> chunk."
"WRID>RIFF-WAVE>smpl>identifier","","smpl","sample_loop","identifier","dwIdentifier","4","u32","DWORD","RIFF1994","","Identifies the unique 'name' of the loop. This field may correspond with a name stored in the <`cue `> chunk. The name data is stored in the <`LIST-adtl`> chunk."
"WRID>RIFF-WAVE>smpl>type","","smpl","sample_loop","type","dwType","4","u32","DWORD","RIFF1994","","Specifies the loop type:
0 - Loop forward (normal). 
1 - Alternating loop (forward/backward). 
2 - Loop backward. 
3-31 - reserved for future standard types. 
32-? - sampler specific types (manufacturer defined). "
"WRID>RIFF-WAVE>smpl>start","","smpl","sample_loop","start","dwStart","4","u32","DWORD","RIFF1994","","Specifies the startpoint of the loop in samples."
"WRID>RIFF-WAVE>smpl>end","","smpl","sample_loop","end","dwEnd","4","u32","DWORD","RIFF1994","","Specifies the endpoint of the loop in samples (this sample will also be played)."
"WRID>RIFF-WAVE>smpl>fraction","","smpl","sample_loop","fraction","dwFraction","4","u32","DWORD","RIFF1994","","Allows fine-tuning for loop fractional areas between samples. Values range from 0x00000000 to 0xFFFFFFFF. A value of 0x80000000 represents 1/2 of a sample length."
"WRID>RIFF-WAVE>smpl>play_count","","smpl","sample_loop","play_count","dwPlayCount","4","u32","DWORD","RIFF1994","","Specifies the number of times to play the loop. A value of 0 specifies an infinite sustain loop."
"WRID>RIFF-WAVE>fmt >id","","fmt","W_F_PCM","id","ckID","4","u8[4]","FOURCC","RIFF1991","id = ""fmt """,""
"WRID>RIFF-WAVE>fmt >size","","fmt","W_F_PCM","size","ckSize","4","u32","DWORD","RIFF1991","",""
"WRID>RIFF-WAVE>fmt >format_tag","","fmt","W_F_PCM","format_tag","wFormatTag","2","u16","WORD","RIFF1991"," = 0x0001","A number indicating the WAVE format category of the file. The content of the <format-specific-fields> portion of the ‘fmt’ chunk, and the interpretation of the waveform data, depend on this value."
"WRID>RIFF-WAVE>fmt >channels","","fmt","W_F_PCM","channels","wChannels","2","u16","WORD","RIFF1991","","The number of channels represented in the waveform data, such as 1 for mono or 2 for stereo."
"WRID>RIFF-WAVE>fmt >samples_per_sec","","fmt","W_F_PCM","samples_per_sec","dwSamplesPerSec","4","u32","DWORD","RIFF1991","","The sampling rate (in samples per second) at which each channel should be played."
"WRID>RIFF-WAVE>fmt >avg_bytes_per_sec","","fmt","W_F_PCM","avg_bytes_per_sec","dwAvgBytesPerSec","4","u32","DWORD","RIFF1991","","The average number of bytes per second at which the waveform data should be transferred. Playback software can estimate the buffer size using this value."
"WRID>RIFF-WAVE>fmt >block_align","","fmt","W_F_PCM","block_align","wBlockAlign","2","u16","WORD","RIFF1991","","The block alignment (in bytes) of the waveform data. Playback software needs to process a multiple of block_align bytes of data at a time, so the value of block_align can be used for buffer alignment. The block_align field should be equal to the following formula, rounded to the next whole number: channels x ( bits_per_sample / 8 )"
"WRID>RIFF-WAVE>fmt >bits_per_sample","","fmt","W_F_PCM","bits_per_sample","wBitsPerSample","2","u16","WORD","RIFF1991","","The bits_per_sample field specifies the number of bits of data used to represent each sample of each channel. If there are multiple channels, the sample size is the same for each channel. The block_align field should be equal to the following formula, rounded to the next whole number: channels x ( bits_per_sample / 8 )"
"WRID>RIFF-WAVE>fmt >id","","fmt","W_F_UNKNOWN","id","ckID","4","u8[4]","FOURCC","RIFF1994","id = ""fmt """,""
"WRID>RIFF-WAVE>fmt >size","","fmt","W_F_UNKNOWN","size","ckSize","4","u32","DWORD","RIFF1994","",""
"WRID>RIFF-WAVE>fmt >format_tag","","fmt","W_F_UNKNOWN","format_tag","wFormatTag","2","u16","WORD","RIFF1994","","A number indicating the WAVE format category of the file. The content of the <format-specific-fields> portion of the ‘fmt’ chunk, and the interpretation of the waveform data, depend on this value."
"WRID>RIFF-WAVE>fmt >channels","","fmt","W_F_UNKNOWN","channels","wChannels","2","u16","WORD","RIFF1994","","The number of channels represented in the waveform data, such as 1 for mono or 2 for stereo."
"WRID>RIFF-WAVE>fmt >samples_per_sec","","fmt","W_F_UNKNOWN","samples_per_sec","dwSamplesPerSec","4","u32","DWORD","RIFF1994","","The sampling rate (in samples per second) at which each channel should be played."
"WRID>RIFF-WAVE>fmt >avg_bytes_per_sec","","fmt","W_F_UNKNOWN","avg_bytes_per_sec","dwAvgBytesPerSec","4","u32","DWORD","RIFF1994","","The average number of bytes per second at which the waveform data should be transferred. Playback software can estimate the buffer size using this value."
"WRID>RIFF-WAVE>fmt >block_align","","fmt","W_F_UNKNOWN","block_align","wBlockAlign","2","u16","WORD","RIFF1994","","The block alignment (in bytes) of the waveform data. Playback software needs to process a multiple of block_align bytes of data at a time, so the value of block_align can be used for buffer alignment. The block_align field should be equal to the following formula, rounded to the next whole number: channels x ( bits_per_sample / 8 )"
"WRID>RIFF-WAVE>fmt >bits_per_sample","","fmt","W_F_UNKNOWN","bits_per_sample","wBitsPerSample","2","u16","WORD","RIFF1994","","The bits_per_sample field specifies the number of bits of data used to represent each sample of each channel. If there are multiple channels, the sample size is the same for each channel. The block_align field should be equal to the following formula, rounded to the next whole number: channels x ( bits_per_sample / 8 )"
"WRID>RIFF-WAVE>fmt >extra_size","","fmt","W_F_UNKNOWN","extra_size","cbSize","2","u16","WORD","RIFF1994","","The count in bytes of the extra extensible data. The size in bytes of the extra information in the WAVE format header not including the size of the WAVEFORMATEX structure. (size of fields from `format_tag` through `extra_size` inclusive (all fields except `id`, `size` and the `extra_bytes`))"
"WRID>RIFF-WAVE>fmt >extra_bytes","","fmt","W_F_UNKNOWN","extra_bytes","","size-18","u8[size-18]","WORD","RIFF1994","","The extra information as bytes. For use when `format_tag` is unknown, so this portion can't be parsed deteriministically."
"WRID>RIFF-WAVE>fmt >id","","fmt","W_F_ADPCM","id","ckID","4","u8[4]","FOURCC","RIFF1994","id = ""fmt """,""
"WRID>RIFF-WAVE>fmt >size","","fmt","W_F_ADPCM","size","ckSize","4","u32","DWORD","RIFF1994","",""
"WRID>RIFF-WAVE>fmt >format_tag","","fmt","W_F_ADPCM","format_tag","wFormatTag","2","u16","WORD","RIFF1994"," = 0x0002","A number indicating the WAVE format category of the file. The content of the <format-specific-fields> portion of the ‘fmt’ chunk, and the interpretation of the waveform data, depend on this value. This must be set to WAVE_FORMAT_ADPCM."
"WRID>RIFF-WAVE>fmt >channels","","fmt","W_F_ADPCM","channels","wChannels","2","u16","WORD","RIFF1994","","The number of channels represented in the waveform data, such as 1 for mono or 2 for stereo."
"WRID>RIFF-WAVE>fmt >samples_per_sec","","fmt","W_F_ADPCM","samples_per_sec","dwSamplesPerSec","4","u32","DWORD","RIFF1994","","Frequency of the sample rate of the wave file. This should be 11025, 22050, or 44100. Other sample rates are allowed, but not encouraged."
"WRID>RIFF-WAVE>fmt >avg_bytes_per_sec","","fmt","W_F_ADPCM","avg_bytes_per_sec","dwAvgBytesPerSec","4","u32","DWORD","RIFF1994","","The average number of bytes per second at which the waveform data should be transferred. Playback software can estimate the buffer size using this value. ((samples_per_sec / samples_per_block) * block_align)."
"WRID>RIFF-WAVE>fmt >block_align","","fmt","W_F_ADPCM","block_align","wBlockAlign","2","u16","WORD","RIFF1994","","The block alignment (in bytes) of the waveform data. Playback software needs to process a multiple of block_align bytes of data at a time, so the value of block_align can be used for buffer alignment. 

|(samples_per_sec x channels) | block_align |
|-|-|
|8k | 256|
|11k | 256|
|22k | 512|
|44k | 1024|"
"WRID>RIFF-WAVE>fmt >bits_per_sample","","fmt","W_F_ADPCM","bits_per_sample","wBitsPerSample","2","u16","WORD","RIFF1994","","This is the number of bits per sample of ADPCM. Currently only 4 bits per sample is defined. Other values are reserved."
"WRID>RIFF-WAVE>fmt >extra_size","","fmt","W_F_ADPCM","extra_size","cbSize","2","u16","WORD","RIFF1994","","The size in bytes of the extended information after the WAVEFORMATEX structure. For the standard WAVE_FORMAT_ADPCM using the standard seven coefficient pairs, this is 32. If extra coefficients are added, then this value will increase."
"WRID>RIFF-WAVE>fmt >samples_per_block","","fmt","W_F_ADPCM","samples_per_block","nSamplesPerBlock","2","u16","WORD","RIFF1994","","Count of number of samples per block. (((block_align - (7 * channels)) * 8) / (bits_per_sample * channels)) + 2."
"WRID>RIFF-WAVE>fmt >coefficient_count","","fmt","W_F_ADPCM","coefficient_count","nNumCoef","2","u16","WORD","RIFF1994","","Count of the number of coefficient sets defined in `coefficients`."
"WRID>RIFF-WAVE>fmt >coefficients","","fmt","W_F_ADPCM","coefficients","aCoeff","4 * coef_count","(i16, i16)[coef_count]","aCoeff[wNumCoef]","RIFF1994","","These are the coefficients used by the wave to play. They may be interpreted
as fixed point 8.8 signed values. Currently there are 7 preset coefficient sets.
They must appear in the following order.

|Coef1 |Coef2|
|-|-|
|256 |0|
|512 |-256|
|0 |0|
|192 |64|
|240 |0|
|460 |-208|
|392 |-232|

Note that if even only 1 coefficient set was used to encode the file then all
coefficient sets are still included. More coefficients may be added by the
encoding software, but the first 7 must always be the same."
"WRID>RIFF-WAVE>fmt >id","","fmt","W_F_DVI_ADPCM","id","ckID","4","u8[4]","FOURCC","RIFF1994","id = ""fmt """,""
"WRID>RIFF-WAVE>fmt >size","","fmt","W_F_DVI_ADPCM","size","ckSize","4","u32","DWORD","RIFF1994","",""
"WRID>RIFF-WAVE>fmt >format_tag","","fmt","W_F_DVI_ADPCM","format_tag","wFormatTag","2","u16","WORD","RIFF1994"," = 0x0011","A number indicating the WAVE format category of the file. The content of the <format-specific-fields> portion of the ‘fmt’ chunk, and the interpretation of the waveform data, depend on this value. This must be set to WAVE_FORMAT_DVI_ADPCM."
"WRID>RIFF-WAVE>fmt >channels","","fmt","W_F_DVI_ADPCM","channels","wChannels","2","u16","WORD","RIFF1994","","The number of channels represented in the waveform data, such as 1 for mono or 2 for stereo."
"WRID>RIFF-WAVE>fmt >samples_per_sec","","fmt","W_F_DVI_ADPCM","samples_per_sec","dwSamplesPerSec","4","u32","DWORD","RIFF1994","","Sample rate of the WAVE file. This should be 8000, 11025, 22050 or 44100. Other sample rates are allowed."
"WRID>RIFF-WAVE>fmt >avg_bytes_per_sec","","fmt","W_F_DVI_ADPCM","avg_bytes_per_sec","dwAvgBytesPerSec","4","u32","DWORD","RIFF1994","","The average number of bytes per second at which the waveform data should be transferred. Playback software can estimate the buffer size using this value. ((samples_per_sec / samples_per_block) * block_align)."
"WRID>RIFF-WAVE>fmt >block_align","","fmt","W_F_DVI_ADPCM","block_align","wBlockAlign","2","u16","WORD","RIFF1994","","The block alignment (in bytes) of the waveform data. Playback software needs to process a multiple of wBlockAlign bytes of data at a time, so the value of wBlockAlign can be used for buffer alignment. 

|bits_per_sample | block_align |
|-|-|
|3 | (( N * 3 ) + 1 ) * 4 * channels |
|4 | (N + 1) * 4 * channels |
|| where N = 0, 1, 2, 3 . . . |

The recommended block size for coding is 256 * <channels> bytes* min(1, (<samples_per_second>/ 11 kHz))  Smaller values cause the block header to become a more significant storage overhead. But, it is up to the implementation of the coding portion of the algorithm to decide the optimal value for <block_align> within the given constraints (see above). The decoding portion of the algorithm must be able to handle any valid block size. Playback software needs to process a multiple of <block_align> bytes of data at a time, so the value of <block_align> can be used for allocating buffers."
"WRID>RIFF-WAVE>fmt >bits_per_sample","","fmt","W_F_DVI_ADPCM","bits_per_sample","wBitsPerSample","2","u16","WORD","RIFF1994","","This is the number of bits per sample of data. DVI ADPCM supports 3 or 4 bits per sample."
"WRID>RIFF-WAVE>fmt >extra_size","","fmt","W_F_DVI_ADPCM","extra_size","cbSize","2","u16","WORD","RIFF1994","","The size in bytes of the extended information after the WAVEFORMATEX structure. This should be 2."
"WRID>RIFF-WAVE>fmt >samples_per_block","","fmt","W_F_DVI_ADPCM","samples_per_block","nSamplesPerBlock","2","u16","WORD","RIFF1994","","Count of number of samples per block. 
(((block_align - (4 * channels)) * 8) / (bits_per)sample * channels)) + 1."